"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 11:44:41 CET 2023","Sat Jan 28 11:44:45 CET 2023","4259","Saucedemo Test","CompleteOrderTest","Test.CompleteOrderTest","Test.CompleteOrderTest","completeOrder","completeOrder"," The system logs in, orders all productsthat are available in the store and checks if the quantity is correct. Then he fills out the order form, accepts the order and checks that the transaction was successful."
"passed","Sat Jan 28 11:44:48 CET 2023","Sat Jan 28 11:44:50 CET 2023","2020","Saucedemo Test","AddRemoveAndBuyProducts","Test.AddRemoveAndBuyProducts","Test.AddRemoveAndBuyProducts","addRemoveAndBuy","addRemoveAndBuy"," the system logs in to the store, adds a product to the cart, checks if the number of products is correct, and then removes the product from the cart and logs the user out of the store."
